이름,성별,전화번호,나이,현재 체중,목표 체중,키,회원 가입일,회원 정보 갱신일,흡연 여부,음주 여부,가입 개월 수,개인상담 요청
전윤수,남,010-7798-8217,31,79,71,175,2018년 01월 20일,2018년 01월 20일,아니오,월 1회,0개월,아니요
양윤준,남,01018892449,37,79,78,173,2018년 01월 05일,2018년 01월 05일,예,주 2회,0개월,아니요
배승후,남성,010-8893-3555,34,82,81,178,2018년 01월 31일,2018년 01월 31일,예,월 2회,0개월,아니요
장 시민,남성,unknown,37,75 kg,72 kg,182 cm,2018년 02월 07일,2018년 02월 11일,아니오,월 2회,6개월,아니요
서솔미,female,01065722657,33,60 kg,53 kg,247,2018년 01월 04일,2018년 01월 04일,아니오,주 1회,0개월,아니요
문서안,여성,01014189588,,0,0,159,2018년 01월 08일,2018년 03월 16일,아니오,월 2회,0개월,아니요
장승민,남성,01042439931,41,85,84,173 cm,2018년 02월 02일,2018년 03월 12일,예,월 2회,0개월,아니요
오서원,여성,01038155834,20,61kg,53kg,166,2018년 01월 13일,2018년 01월 13일,아니오,월 2회,0개월,아니요
허동환,남,010-2519-4598,,82,72,179,2018년 01월 04일,2018년 03월 16일,아니오,월 1회,0개월,아니요
윤솔은,여성,unknown,32,60,58,176,2018년 01월 05일,2018년 01월 05일,아니오,안 마심,0개월,아니요
송솔지,여성,unknown,19,59,49,170 cm,2018년 02월 28일,2018년 02월 28일,아니오,주 1회,3개월,아니요
백대연,남성,01034742815,30,0,0,190,2018년 01월 04일,2018년 01월 04일,아니오,주 1회,0개월,아니요
임설아,여성,010-9396-9175,39,58,51,170,2018년 01월 31일,2018년 04월 15일,아니오,월 2회,0개월,아니요
고재훈,남,010-9638-2744,39,77,70,180,2018년 01월 09일,2018년 01월 09일,예,월 2회,0개월,아니요
황서안,여성,01063422868,21,63,60,168,2018년 02월 13일,2018년 02월 13일,아니오,월 1회,0개월,아니요
정초현,여성,01089949758,41,61kg,55kg,175 cm,2018년 01월 21일,2018년 01월 21일,아니오,주 1회,0개월,아니요
최솔은,여성,010-5224-3841,35,57,47,173,2018년 01월 24일,2018년 01월 24일,아니오,안 마심,0개월,아니요
김성재,Male,01054338749,30,82,77,179,2018년 02월 25일,2018년 02월 25일,아니오,안 마심,3개월,아니요
김서후,남성,010-9548-4529,26,78,68,168,2018년 02월 14일,2018년 02월 16일,아니오,월 2회,12개월,아니요
손준혁,남,010-5741-5962,43,0,0,175,2018년 02월 05일,2018년 05월 09일,아니오,주 1회,0개월,아니요
홍소민,여,010-9346-7943,29,62,59,229,2018년 02월 25일,2018년 02월 25일,아니오,월 2회,0개월,아니요
조대윤,남성,010-3411-4652,40,84 kg,79 kg,0,2018년 02월 18일,2018년 02월 18일,아니오,안 마심,0개월,아니요
양윤태,남,01032952415,29,0,0,173,2018년 02월 02일,2018년 02월 02일,아니오,안 마심,0개월,아니요
한동현,male,010-4655-4447,31,83,74,177cm,2018년 01월 12일,2018년 01월 25일,아니오,월 1회,0개월,아니요
송성윤,남성,unknown,25,78,73,177,2018년 02월 17일,2018년 02월 17일,아니오,주 1회,0개월,아니요
서동예,남,010-4311-5995,,83,78,177cm,2018년 02월 22일,2018년 05월 01일,아니오,안 마심,6개월,아니요
임설희,female,01062419473,27세,64 kg,62 kg,170,2018년 02월 28일,2018년 02월 28일,예,주 1회,0개월,아니요
조윤후,Male,010-8153-7716,37,81,78,170 cm,2018년 02월 24일,2018년 02월 24일,아니오,주 2회,3개월,아니요
양원훈,Male,010-9663-4784,42,81,74,185,2018년 01월 16일,2018년 01월 16일,예,주 1회,0개월,예
신시빈,남성,01069387767,35,81,78,127,2018년 02월 13일,2018년 04월 30일,예,월 1회,3개월,아니요
전승이,Female,unknown,25,57kg,50kg,172,2018년 01월 16일,2018년 01월 16일,예,월 2회,0개월,아니요
정채영,여성,010-5746-5288,28,65 kg,57 kg,174cm,2018년 01월 12일,2018년 01월 12일,아니오,안 마심,0개월,아니요
유은우,남성,010-5179-5918,43,80,72,175,2018년 02월 18일,2018년 05월 19일,예,주 1회,3개월,아니요
신소연,여성,010-1481-5172,28,60,55,170,2018년 02월 11일,2018년 02월 11일,아니오,주 2회,0개월,아니요
류대율,남성,010-8275-3984,41,81,73,169,2018년 02월 08일,2018년 02월 11일,아니오,월 1회,0개월,아니요
박윤성,남성,010-9663-6868,38,21,15,176cm,2018년 01월 14일,2018년 01월 14일,아니오,월 2회,0개월,예
송은성,남성,01044283159,36,32,31,170,2018년 01월 10일,2018년 01월 10일,아니오,주 1회,0개월,예
신승호,남,010-5724-5268,33,77kg,70kg,168,2018년 01월 09일,2018년 01월 09일,아니오,주 2회,0개월,아니요
고우준,남,010-5343-5589,38,80,75,0,2018년 02월 20일,2018년 02월 20일,아니오,월 2회,0개월,예
오송혁,male,01068696631,39,80,79,181,2018년 02월 23일,2018년 02월 23일,아니오,주 1회,0개월,아니요
조은준,male,010-9511-3341,25,81,77,180,2018년 02월 09일,2018년 02월 09일,아니오,월 2회,3개월,아니요
송재우,남성,01011699245,,84,74,166,2018년 01월 09일,2018년 01월 09일,아니오,안 마심,0개월,아니요
류동희,남성,010-6772-8478,,32,22,172,2018년 02월 15일,2018년 02월 15일,아니오,월 1회,0개월,아니요
한윤수,남,010-9967-3344,,79,74,175,2018년 01월 07일,2018년 01월 07일,아니오,월 1회,6개월,아니요
정승진,남,unknown,31,79,71,175,2018년 01월 24일,2018년 05월 02일,아니오,주 1회,0개월,아니요
전은찬,male,010-6463-1183,29,77,75,182 cm,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,0개월,예
배채빈,여,01077515933,26세,60,52,166,2018년 01월 26일,2018년 01월 26일,아니오,월 1회,0개월,예
정재혁,남성,010-3613-3495,,0,0,176,2018년 01월 02일,2018년 01월 02일,아니오,주 2회,0개월,아니요
유은준,남,010-1841-7859,,77,73,0,2018년 02월 18일,2018년 05월 07일,아니오,주 2회,0개월,아니요
전소정,여성,01048824926,39,0,0,167,2018년 02월 04일,2018년 05월 05일,아니오,월 2회,6개월,아니요
정윤도,남성,01048679684,,73,66,177,2018년 02월 03일,2018년 05월 09일,아니오,안 마심,0개월,아니요
손주훈,Male,010-5682-3539,28,79kg,69kg,184,2018년 01월 17일,2018년 01월 17일,아니오,월 2회,0개월,아니요
배슬은,여,01031611867,,62,52,170,2018년 02월 16일,2018년 02월 16일,예,주 1회,3개월,아니요
황세율,female,010-8226-8819,,0,0,164,2018년 01월 27일,2018년 01월 27일,아니오,안 마심,6개월,아니요
손동훈,남성,010-5653-1489,31,78,75,182,2018년 01월 18일,2018년 01월 18일,아니오,월 1회,0개월,아니요
한승하,여성,010-8782-2813,27,55kg,54kg,0,2018년 02월 04일,2018년 02월 04일,아니오,월 1회,0개월,예
류윤재,남성,01035862459,36세,82kg,78kg,0,2018년 02월 23일,2018년 02월 23일,아니오,월 2회,0개월,아니요
신주호,남성,010-6322-8494,36,81,80,178,2018년 01월 17일,2018년 01월 17일,아니오,주 1회,3개월,예
황소희,여,unknown,30,60,55,0,2018년 01월 07일,2018년 01월 07일,아니오,주 1회,0개월,아니요
이소영,여,010-6522-4817,28,57,54,170,2018년 01월 16일,2018년 01월 16일,아니오,주 1회,0개월,아니요
류슬은,여,010-4177-8144,35,59kg,54kg,162 cm,2018년 02월 24일,2018년 02월 24일,아니오,주 1회,0개월,아니요
송슬미,female,01046734674,34,58,52,175,2018년 02월 04일,2018년 02월 04일,예,월 2회,0개월,예
윤채정,여성,010-4158-4142,33,58,54,169 cm,2018년 02월 28일,2018년 04월 18일,아니오,월 2회,0개월,아니요
송채빈,female,01077352359,26,57,50,163,2018년 01월 04일,2018년 01월 04일,아니오,주 1회,3개월,아니요
백은률,male,010-3527-8687,33,78,73,176,2018년 01월 28일,2018년 04월 28일,아니오,월 2회,0개월,예
양대권,남성,010-5583-7349,39,75kg,67kg,178,2018년 01월 28일,2018년 01월 28일,아니오,월 2회,0개월,아니요
고선아,여성,010-2446-7439,41,62,59,170,2018년 02월 13일,2018년 05월 09일,아니오,월 2회,0개월,아니요
신한규,남,unknown,28,73,64,177,2018년 01월 24일,2018년 05월 02일,아니오,월 2회,6개월,아니요
한승혜,Female,01042934267,20 세,50kg,46kg,170,2018년 01월 17일,2018년 01월 17일,아니오,주 1회,3개월,아니요
고유찬,남,010-6311-9168,32,78,77,177,2018년 01월 28일,2018년 01월 28일,아니오,월 2회,0개월,아니요
정송빈,남성,010-4138-2722,24,89,88,176,2018년 01월 24일,2018년 01월 24일,아니오,월 2회,0개월,아니요
정승우,남성,01044547256,30,81,74,175 cm,2018년 01월 09일,2018년 01월 09일,아니오,주 1회,0개월,예
류윤오,남,010-7216-1881,39,79 kg,71 kg,179,2018년 01월 13일,2018년 01월 13일,아니오,월 2회,12개월,예
강채희,female,010-9675-3978,30,59,56,168,2018년 01월 11일,2018년 01월 11일,예,월 2회,12개월,아니요
정지호,남,010-7623-5115,35세,82,76,173,2018년 02월 10일,2018년 02월 10일,아니오,주 1회,0개월,예
김재혁,남,01016441448,29,75,67,173,2018년 01월 01일,2018년 01월 01일,아니오,월 1회,0개월,아니요
유채정,여,01048528275,34,54,49,158,2018년 01월 11일,2018년 01월 11일,아니오,월 1회,0개월,아니요
배민기,남,010-6744-5293,29,79,74,183,2018년 01월 25일,2018년 01월 31일,아니오,월 2회,0개월,아니요
송윤재,남,010-8773-8173,42,79,74,174,2018년 02월 17일,2018년 02월 17일,아니오,주 1회,0개월,아니요
류지예,여성,01015317412,33,62,61,166cm,2018년 01월 27일,2018년 01월 27일,아니오,주 1회,0개월,예
박은섭,남성,01066289816,34,82kg,81kg,182,2018년 01월 16일,2018년 01월 16일,아니오,월 1회,3개월,아니요
최초윤,여성,010-2294-7474,38,58kg,48kg,165,2018년 01월 13일,2018년 03월 10일,아니오,주 1회,12개월,아니요
전태은,남성,010-9559-2418,27,78,76,183cm,2018년 02월 21일,2018년 02월 21일,아니오,주 1회,0개월,아니요
전성우,Male,010-3868-7328,29,77,75,164,2018년 01월 07일,2018년 03월 31일,예,월 2회,0개월,아니요
권재민,남성,01071834691,27,77,73,180,2018년 01월 17일,2018년 01월 17일,아니오,월 2회,3개월,아니요
권태훈,남,010-5175-4317,44,0,0,173,2018년 02월 10일,2018년 02월 10일,아니오,월 1회,0개월,아니요
허성은,female,01042943335,32,58,48,171cm,2018년 02월 18일,2018년 02월 18일,아니오,주 2회,3개월,아니요
백채윤,여,01058152535,34,61,59,0,2018년 01월 09일,2018년 01월 09일,예,월 2회,0개월,아니요
강대훈,남,01037514162,33,80 kg,79 kg,177,2018년 01월 28일,2018년 01월 28일,아니오,월 1회,0개월,아니요
오이훈,male,01088167686,,86,76,0,2018년 02월 23일,2018년 05월 05일,아니오,월 1회,6개월,예
김지민,여성,010-8724-6242,,66,56,163,2018년 01월 16일,2018년 01월 16일,아니오,월 1회,0개월,예
이성은,여성,01046619894,29,0,0,165 cm,2018년 02월 14일,2018년 02월 14일,예,주 2회,0개월,아니요
양수빈,여성,01024542347,38,55,46,162,2018년 02월 01일,2018년 02월 01일,아니오,주 1회,0개월,아니요
김지호,남성,010-2664-3828,33,77kg,75kg,165,2018년 02월 01일,2018년 03월 17일,아니오,월 1회,0개월,아니요
박태영,남,010-5411-2878,109,78,77,159,2018년 01월 18일,2018년 01월 18일,아니오,월 2회,0개월,아니요
강채유,여성,010-1232-1478,36,63,59,168,2018년 01월 13일,2018년 02월 26일,아니오,주 1회,0개월,아니요
문영준,Male,010-6355-4641,37,80,77,173,2018년 02월 13일,2018년 04월 13일,아니오,주 1회,0개월,아니요
서슬은,여성,01089388691,24 세,59kg,50kg,202 cm,2018년 01월 15일,2018년 01월 15일,예,안 마심,0개월,아니요
정연호,남성,unknown,36,74,73,173,2018년 02월 25일,2018년 03월 13일,아니오,안 마심,0개월,예
조동혜,male,010-4268-5872,,79,70,173,2018년 01월 31일,2018년 01월 31일,예,주 1회,0개월,예
손슬미,여,010-3642-5945,39 세,56 kg,52 kg,173,2018년 02월 16일,2018년 03월 05일,아니오,주 1회,0개월,아니요
백세율,여,010-3165-1568,35,55kg,48kg,166,2018년 01월 25일,2018년 02월 19일,아니오,월 1회,0개월,아니요
배동해,남,010-6779-9811,34,74 kg,70 kg,180,2018년 01월 24일,2018년 01월 24일,예,월 2회,0개월,아니요
임채솔,여성,010-4474-6586,28,0,0,174,2018년 02월 22일,2018년 04월 21일,아니오,안 마심,0개월,아니요
전소정,여성,010-7367-8667,27,62kg,55kg,0,2018년 01월 01일,2018년 01월 01일,예,주 2회,0개월,아니요
백재훈,남성,01071792839,33,77kg,76kg,176,2018년 01월 28일,2018년 01월 28일,예,월 2회,0개월,아니요
송도현,Male,010-3713-2119,32,81,77,174cm,2018년 01월 30일,2018년 01월 30일,아니오,주 1회,0개월,아니요
홍윤호,남성,010-1873-7867,32,77kg,70kg,176,2018년 02월 21일,2018년 02월 21일,아니오,월 1회,3개월,아니요
박시율,male,unknown,26,83 kg,74 kg,181,2018년 01월 20일,2018년 01월 20일,아니오,주 2회,0개월,아니요
홍슬미,여성,010-9258-2665,27,62,60,161 cm,2018년 02월 26일,2018년 02월 26일,아니오,월 1회,0개월,아니요
강주혁,남성,01043418266,35세,75 kg,69 kg,180,2018년 01월 10일,2018년 01월 10일,아니오,월 2회,3개월,아니요
이한수,남,010-8337-2162,,79,70,183,2018년 02월 21일,2018년 02월 21일,아니오,안 마심,3개월,아니요
오설빈,여성,010-7615-7893,34,51,50,166,2018년 01월 06일,2018년 01월 24일,아니오,월 2회,0개월,아니요
신슬빈,여성,010-9445-3549,35,0,0,175,2018년 02월 21일,2018년 04월 15일,아니오,월 2회,3개월,아니요
조소민,여,010-9312-8626,39,63,54,175,2018년 02월 28일,2018년 02월 28일,예,주 2회,0개월,아니요
김채민,남,010-6612-5759,34,77,72,176cm,2018년 02월 14일,2018년 02월 14일,예,주 1회,12개월,아니요
한성원,남,unknown,34,79,77,178,2018년 02월 27일,2018년 02월 27일,아니오,주 2회,0개월,아니요
한성빈,남,01067216867,31,80,73,0,2018년 01월 19일,2018년 01월 19일,아니오,월 1회,0개월,아니요
유지선,여성,01058212661,21,58kg,51kg,168,2018년 02월 19일,2018년 02월 19일,아니오,월 1회,0개월,아니요
정준완,남성,01029351661,31,80kg,72kg,167,2018년 02월 21일,2018년 02월 21일,아니오,주 1회,0개월,아니요
이준연,남,01087752416,,82kg,81kg,178,2018년 02월 12일,2018년 05월 22일,아니오,월 1회,0개월,예
신세은,여,010-4967-1195,26,57,49,171 cm,2018년 01월 15일,2018년 01월 15일,아니오,주 1회,0개월,아니요
허초은,여성,010-5272-5982,40,59,50,163,2018년 01월 27일,2018년 03월 27일,예,월 1회,0개월,아니요
허유신,남성,010-4218-9774,,78,73,173,2018년 02월 12일,2018년 03월 12일,아니오,주 1회,0개월,아니요
허승빈,여,01065984443,33,57,48,169cm,2018년 01월 24일,2018년 01월 24일,아니오,월 1회,0개월,아니요
김채민,남,010-9434-5828,,0,0,178,2018년 01월 29일,2018년 01월 29일,아니오,안 마심,0개월,아니요
황선우,남성,010-6184-4699,34,83kg,82kg,181,2018년 01월 05일,2018년 04월 15일,아니오,주 2회,0개월,아니요
장이찬,남,01063732924,35,79,73,184,2018년 01월 19일,2018년 01월 19일,아니오,안 마심,6개월,아니요
서서율,여,010-5121-4419,33,61,55,172,2018년 02월 03일,2018년 02월 03일,아니오,월 1회,0개월,아니요
황윤성,남성,01078176953,43,79kg,70kg,176,2018년 01월 14일,2018년 01월 14일,아니오,주 1회,0개월,아니요
홍성빈,여성,010-6648-7736,36,56,51,170,2018년 02월 24일,2018년 04월 21일,아니오,월 2회,0개월,아니요
고지민,female,010-5886-8486,37,62,53,173,2018년 01월 02일,2018년 01월 02일,아니오,안 마심,6개월,아니요
양채빈,여성,010-1367-1216,32,58,56,161,2018년 01월 15일,2018년 04월 22일,아니오,주 2회,12개월,아니요
김채유,female,010-1914-2379,36,62 kg,52 kg,157,2018년 01월 05일,2018년 02월 07일,예,주 2회,3개월,아니요
양시윤,남,01054363789,36,80,75,175,2018년 02월 21일,2018년 02월 21일,아니오,월 2회,0개월,아니요
배소윤,여성,010-8942-2279,31,61,53,170,2018년 01월 12일,2018년 01월 26일,예,주 2회,0개월,아니요
송동예,남,010-4365-7751,29,77 kg,72 kg,0,2018년 02월 20일,2018년 04월 22일,아니오,주 2회,0개월,아니요
송수현,여성,010-1385-5724,27세,61,58,166 cm,2018년 02월 23일,2018년 02월 23일,예,월 1회,0개월,예
문성준,남,01032544953,28,0,0,176 cm,2018년 01월 08일,2018년 01월 08일,아니오,안 마심,3개월,아니요
전세원,남,010-3159-5238,30,79,72,170,2018년 01월 07일,2018년 01월 07일,예,주 2회,0개월,아니요
최은섭,남성,010-4168-5616,35,79 kg,75 kg,181,2018년 02월 08일,2018년 05월 19일,아니오,월 2회,0개월,아니요
고소연,여,010-7726-1827,22세,58,54,165cm,2018년 02월 11일,2018년 02월 11일,아니오,주 1회,0개월,아니요
오채혁,남성,01095682774,30,82,78,178,2018년 01월 23일,2018년 03월 20일,아니오,월 2회,0개월,아니요
황성희,남성,010-8166-6993,28,77,68,182,2018년 01월 24일,2018년 01월 24일,아니오,주 2회,0개월,아니요
고세영,female,010-5551-8287,25,0,0,177,2018년 01월 25일,2018년 03월 05일,아니오,주 2회,0개월,예
유채율,여성,010-4626-4358,31,60,58,170,2018년 01월 16일,2018년 02월 14일,아니오,주 1회,0개월,아니요
서찬후,남,010-3849-8648,28,78,71,177,2018년 01월 29일,2018년 02월 17일,아니오,주 2회,3개월,아니요
